	AllTransactions

	1/1/2023 through 3/9/2026 (in U.S. Dollars)


	Date	Account	Description	Memo	Category	Amount	
			
			
			
			
			
							
	BALANCE 12/31/2022	-0.0(	
	    9/22/2023	Investment1	BLACKROCK INC	BLACKROCK INC	_DivInc	20.00	
	    9/22/2023	Investment1	2.000 UNITEDHEALTH GROUP	UNITEDHEALTH GROUP		0.00	
	    9/23/2023	MasterCard	Amazon		Household	-16.40	
	    9/23/2023	MasterCard	Cafe Qps		Dining	-5.04	
	    9/25/2023	Checking	Nordstrom		Clothing	-115.68	
	    9/25/2023	Checking	Nordstrom		Clothing	121.19	
	    9/25/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    9/25/2023	MasterCard	Trader Joe		Groceries	-26.32	
	    9/25/2023	MasterCard	S Center		Entertainment	-25.00	
	    9/25/2023	MasterCard	Qfc		Groceries	-5.73	
	    9/25/2023	MasterCard	Pcc		Groceries	-0.10	
	    9/25/2023	MasterCard	Amazon		Household	-20.17	
	    9/26/2023	Checking	Zelle Bob		House Services	-100.00	
	    9/26/2023	Cash	ARCO		Auto:Fuel	-19.88	
	    9/26/2023	MasterCard	Amazon		Household	-15.68	
	    9/26/2023	MasterCard	Shell		Auto:Fuel	-69.13	
	    9/26/2023	Investment1	5.000 S&P GLOBAL INC	S&P GLOBAL INC		0.00	
	    9/27/2023	MasterCard	Pcc		Groceries	-66.81	
	    9/28/2023	Cash	Ziply Fiber		Utilities:Internet	-85.86	
	    9/28/2023	Investment2	4.137 INVESCO DIVERSIFIED DIVIDEND INVESTOR CL		_DivInc	71.07	
	    9/29/2023	Checking	Venmo	 	House Services	-130.00	
	    9/29/2023	Cash	Interest Earned	INTEREST EARNED	Interest Inc	377.25	
	    9/29/2023	Cash	Employer	Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-529.11	
				Medicare Tax	Tax:Medicare	-39.61	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    9/29/2023	MasterCard	Safeway		Groceries	-47.57	
	    9/29/2023	MasterCard	Amazon		Household	-117.34	
	    9/29/2023	Investment2	4.027 FIDELITY MUNICIPAL INCOME		_DivInc	46.35	
	    9/29/2023	Investment2	8.672 FIDELITY CAPITAL & INCOME		_DivInc	79.96	
	    9/29/2023	Investment2	FIDELITY GOVERNMENT MONEY MARKET	DIVIDEND RECEIVED	_DivInc	28.28	
	    9/29/2023	Investment1	BECTON DICKINSON & CO	BECTON DICKINSON & CO	_DivInc	9.10	
	    9/29/2023	Investment1	EVERSOURCE ENERGY	EVERSOURCE ENERGY	_DivInc	14.85	
	    9/29/2023	Investment1	PEPSICO INCORPORATED	PEPSICO INCORPORATED	_DivInc	18.98	
	    9/29/2023	Investment1	BANK DEPOSIT SWEEP	STANDARD BANK DEPOSIT	_IntInc	4.77	
	    9/30/2023	MasterCard	Araya Place Old		Dining	-25.16	
	    10/1/2023	Investment1	AUTOMATIC DATA	AUTOMATIC DATA	_DivInc	18.75	
	    10/2/2023	Checking	ARCO	 	Auto:Fuel	-66.34	
	    10/2/2023	MasterCard	Hulu		Streaming	-108.98	
	    10/2/2023	MasterCard	Metropolitan Market		Groceries	-27.01	
	    10/2/2023	MasterCard	Qfc		Groceries	-19.82	
	    10/2/2023	MasterCard	Shell		Auto:Fuel	-18.56	
	    10/2/2023	MasterCard	Bitterroot Mamm		Dining	-82.70	
	    10/2/2023	Investment1	NIKE INC CLASS B	NIKE INC CLASS B	_DivInc	7.82	
	    10/3/2023	Checking	Zelle Carlos	Plumber	Home Repair	-300.00	
	    10/3/2023	Cash	ARCO		Auto:Fuel	-19.88	
	    10/3/2023	MasterCard	Awers Caviar		Groceries	-61.83	
	    10/4/2023	MasterCard	Amazon		Misc	-153.04	
	    10/6/2023	MasterCard	Safeway		Groceries	-15.96	
	    10/6/2023	MasterCard	Grocery Outlet		Groceries	-7.70	
	    10/6/2023	Investment2	1.678 FIDELITY FREEDOM INCOME		_DivInc	16.56	
	    10/6/2023	Investment1	CHUBB CORP	CHUBB LTD	_DivInc	11.18	
	    10/9/2023	Cash	ARCO		Auto:Fuel	-20.30	
	    10/9/2023	MasterCard	Pcc		Groceries	-51.74	
	    10/9/2023	MasterCard	Koza Turkish Grocery		Groceries	-28.48	
	    10/9/2023	MasterCard	Grocery Outlet		Groceries	-26.00	
	    10/9/2023	MasterCard	Sunflower Farm		Groceries	-11.00	
	    10/10/2023	Checking	Costco		Groceries	-135.18	
	    10/10/2023	Checking	Costco Gas		Auto:Fuel	-64.26	
	    10/10/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    10/10/2023	MasterCard	Safeway		Groceries	-20.10	
	    10/10/2023	MasterCard	Amazon		Household	-15.68	
	    10/11/2023	Checking	Nordstrom		Clothing	-297.48	
	    10/11/2023	Checking	Zelle Alice		Personal Care	-100.00	
	    10/11/2023	Cash	ARCO		Auto:Fuel	-20.28	
	    10/11/2023	Investment2	AGNC Investment Corp.	DIVIDEND RECEIVED	_DivInc	36.00	
	    10/12/2023	Cash	ARCO		Auto:Fuel	-82.57	
	    10/12/2023	Cash	ARCO		Auto:Fuel	-20.30	
	    10/12/2023	MasterCard	Late Payment Fee		Bank Charge	-40.00	
	    10/12/2023	Investment1	ILLINOIS TOOL WORKS INC	ILLINOIS TOOL WORKS INC	_DivInc	19.60	
	    10/13/2023	Cash	Employer	Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-529.11	
				Medicare Tax	Tax:Medicare	-44.13	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    10/13/2023	MasterCard	Metropolitan Market		Groceries	-12.11	
	    10/13/2023	Investment1	Advisory	ACCOUNT CREDIT		16.49	
	    10/13/2023	Investment1	Advisory	PLATFORM FEE		-17.06	
	    10/13/2023	Investment1	MEDTRONIC PLC	MEDTRONIC PLC	_DivInc	16.56	
	    10/14/2023	MasterCard	Trader Joe		Groceries	-5.50	
	    10/14/2023	MasterCard	Amazon		Household	-10.87	
	    10/14/2023	MasterCard	Amazon	 	Household	-6.91	
	    10/14/2023	MasterCard	Amazon		Household	-20.25	
	    10/14/2023	MasterCard	Amazon		Household	-48.33	
	    10/16/2023	Checking	Farmers Pc Rp Ins Paymnt 		Auto:Insurance	-277.16	
	    10/16/2023	Checking	Nordstrom		Clothing	-154.27	
	    10/16/2023	Cash	Prov L&a Dis		Insurance:Disability Insurance	-130.86	
	    10/16/2023	MasterCard	Metropolitan Market		Groceries	-41.36	
	    10/16/2023	MasterCard	Starbucks		Dining	-10.02	
	    10/16/2023	MasterCard	Starbucks		Dining	-5.52	
	    10/17/2023	Checking	Nordstrom		Clothing	176.29	
	    10/17/2023	MasterCard	Amazon		Household	-35.75	
	    10/18/2023	MasterCard	Interest CHARGE:PURCHASES		Interest Exp	-145.01	
	    10/18/2023	MasterCard	Amazon Music		Entertainment	-5.49	
	    10/19/2023	Investment2	PROSPECT CAP CORP	DIVIDEND RECEIVED	_DivInc	48.00	
	    10/20/2023	Checking	T-mobile		Utilities:Telephone	-293.49	
	    10/21/2023	MasterCard	Audible.Com		Entertainment	-16.46	
	    10/25/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    10/25/2023	Investment1	CISCO SYSTEMS INC	CISCO SYSTEMS INC	_DivInc	17.94	
	    10/25/2023	Investment1	COMCAST CORP NEW CL A	COMCAST CORP NEW CL A	_DivInc	13.92	
	    10/27/2023	Cash	Ziply Fiber		Utilities:Internet	-85.86	
	    10/27/2023	MasterCard	Amazon		Household	-9.77	
	    10/27/2023	MasterCard	Amazon		Household	-13.48	
	    10/27/2023	Investment1	AMERICAN TOWER CORP	AMERICAN TOWER CORP	_DivInc	12.96	
	    10/28/2023	MasterCard	Amazon		Household	-52.29	
	    10/30/2023	Checking	Zelle Bob		House Services	-100.00	
	    10/30/2023	MasterCard	El Otro Porton		Dining	-82.86	
	    10/30/2023	MasterCard	Amazon		Household	-57.46	
	    10/31/2023	Cash	Interest Earned	INTEREST EARNED	Interest Inc	66.38	
	    10/31/2023	Cash	Employer	Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-529.11	
				Medicare Tax	Tax:Medicare	-53.85	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    10/31/2023	MasterCard	Starbucks		Dining	-10.28	
	    10/31/2023	Investment2	4.325 FIDELITY MUNICIPAL INCOME		_DivInc	49.00	
	    10/31/2023	Investment2	9.544 FIDELITY CAPITAL & INCOME		_DivInc	86.28	
	    10/31/2023	Investment2	FIDELITY GOVERNMENT MONEY MARKET	DIVIDEND RECEIVED	_DivInc	14.97	
	    10/31/2023	Investment1	JPMORGAN CHASE & CO	JPMORGAN CHASE & CO	_DivInc	28.35	
	    10/31/2023	Investment1	BANK DEPOSIT SWEEP	STANDARD BANK DEPOSIT	_IntInc	2.42	
	    11/1/2023	Investment1	380.900 FEDERATED HERMES PRIME CASH OBLIGATIONS CL WS		_DivInc	380.90	
	    11/2/2023	MasterCard	Hulu		Streaming	-116.68	
	    11/2/2023	MasterCard	Trader Joe		Groceries	-49.76	
	    11/3/2023	Investment2	1.418 FIDELITY FREEDOM INCOME		_DivInc	14.22	
	    11/4/2023	MasterCard	Sephora		Personal Care	-120.00	
	    11/4/2023	MasterCard	Whole Foods		Groceries	-100.00	
	    11/6/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    11/6/2023	MasterCard	Qfc		Groceries	-42.21	
	    11/6/2023	MasterCard	Qfc		Groceries	-25.00	
	    11/6/2023	MasterCard	Reg Bella Botega		Entertainment	-12.00	
	    11/6/2023	MasterCard	Amazon		Household	-12.50	
	    11/7/2023	Checking	Venmo	 	House Services	-140.00	
	    11/7/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    11/8/2023	Checking	ARCO	 	Auto:Fuel	-86.38	
	    11/8/2023	MasterCard	Awers Caviar		Groceries	-41.82	
	    11/8/2023	MasterCard	Trader Joe		Groceries	-30.02	
	    11/8/2023	Investment1	LOWES COMPANIES INC	LOWES COMPANIES INC	_DivInc	28.60	
	    11/9/2023	Checking	Zelle Bob		House Services	-150.00	
	    11/9/2023	Checking	Employer	Salary	Salary Spouse	1,477.86	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.13	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.58	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    11/9/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    11/9/2023	MasterCard	Aptive Environmental		House Services	-136.52	
	    11/9/2023	MasterCard	Qfc		Groceries	-57.87	
	    11/9/2023	MasterCard	Nasai Teriyaki		Dining	-36.69	
	    11/9/2023	MasterCard	European Deli Produc		Groceries	-27.55	
	    11/9/2023	MasterCard	Target		Household	-10.00	
	    11/9/2023	Investment2	AGNC Investment Corp.	DIVIDEND RECEIVED	_DivInc	36.00	
	    11/10/2023	MasterCard	Pcc		Groceries	-85.64	
	    11/10/2023	MasterCard	General Bldg		Groceries	-7.56	
	    11/10/2023	Investment1	GENL DYNAMICS CORP COM	GENL DYNAMICS CORP	_DivInc	14.52	
	    11/11/2023	MasterCard	Trader Joe		Groceries	-87.53	
	    11/13/2023	MasterCard	Safeway		Groceries	-200.00	
	    11/13/2023	MasterCard	Grocery Outlet		Groceries	-50.25	
	    11/13/2023	MasterCard	General Bldg		Groceries	-7.56	
	    11/13/2023	Investment1	AIR PRODUCTS & CHEMICALS	AIR PRODUCTS & CHEMICALS	_DivInc	15.75	
	    11/14/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    11/14/2023	MasterCard	Great Clips		Personal Care	-28.00	
	    11/14/2023	MasterCard	European Deli Produc		Groceries	-24.97	
	    11/15/2023	Checking	Farmers Pc Rp Ins Paymnt 		Auto:Insurance	-277.16	
	    11/15/2023	Cash	Prov L&a Dis		Insurance:Disability Insurance	-130.86	
	    11/15/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    11/15/2023	Cash	Employer	Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-529.11	
				Medicare Tax	Tax:Medicare	-53.84	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    11/15/2023	MasterCard	Komorebi Sushi Rolls		Groceries	-54.49	
	    11/15/2023	Investment1	ABBOTT LABORATORIES	ABBOTT LABORATORIES	_DivInc	14.79	
	    11/15/2023	Investment1	ACCENTURE PLC IRELAND	ACCENTURE PLC IRELAND	_DivInc	19.35	
	    11/15/2023	Investment1	COLGATE-PALMOLIVE CO	COLGATE-PALMOLIVE CO	_DivInc	7.68	
	    11/15/2023	Investment1	PROCTER & GAMBLE CO	PROCTER & GAMBLE CO	_DivInc	15.05	
	    11/16/2023	MasterCard	Feast		Dining	-111.98	
	    11/16/2023	Investment1	APPLE INC	APPLE INC	_DivInc	13.68	
	    11/17/2023	MasterCard	Interest CHARGE:PURCHASES		Interest Exp	-50.98	
	    11/17/2023	MasterCard	Amazon		Household	-15.68	
	    11/17/2023	Investment1	COSTCO WHSL CORP NEW	COSTCO WHSL CORP NEW	_DivInc	4.08	
	    11/18/2023	MasterCard	Amazon Music		Entertainment	-5.49	
	    11/20/2023	Checking	T-mobile		Utilities:Telephone	-227.98	
	    11/20/2023	MasterCard	Walgreens		Medical:Medicine	-120.00	
	    11/20/2023	MasterCard	Walgreens		Medical:Medicine	-8.82	
	    11/20/2023	MasterCard	Dollartree		Household	-4.13	
	    11/20/2023	MasterCard	Usps		Mail&Ship	-71.60	
	    11/20/2023	MasterCard	Amazon		Household	-48.31	
	    11/20/2023	MasterCard	Amazon		Household	-10.87	
	    11/20/2023	Investment2	PROSPECT CAP CORP	DIVIDEND RECEIVED	_DivInc	48.00	
	    11/20/2023	Investment1	NORFOLK SOUTHERN CORP	NORFOLK SOUTHERN CORP	_DivInc	16.20	
	    11/21/2023	Checking	ARCO	 	Auto:Fuel	-60.33	
	    11/21/2023	Checking	Venmo	 	House Services	-120.00	
	    11/21/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    11/21/2023	MasterCard	Hanoon		Dining	-25.79	
	    11/21/2023	MasterCard	Audible.Com		Entertainment	-16.46	
	    11/24/2023	Checking	Nordstrom		Clothing	-15.68	
	    11/24/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    11/24/2023	MasterCard	Reg Bella Botega		Entertainment	-59.49	
	    11/24/2023	MasterCard	Safeway		Groceries	-25.09	
	    11/24/2023	MasterCard	Zoka Coffee		Groceries	-10.65	
	    11/24/2023	MasterCard	Amazon		Household	-30.51	
	    11/25/2023	MasterCard	Qfc		Groceries	-27.01	
	    11/25/2023	MasterCard	Safeway		Groceries	-20.70	
	    11/25/2023	MasterCard	S Artists		Entertainment	-16.57	
	    11/25/2023	MasterCard	Amazon		Household	-10.56	
	    11/25/2023	MasterCard	Amazon		Household	-115.59	
	    11/27/2023	Checking	ARCO	 	Auto:Fuel	-55.34	
	    11/27/2023	Checking	Zelle Bob		House Services	-50.00	
	    11/27/2023	Cash	Ziply Fiber		Utilities:Internet	-85.86	
	    11/27/2023	MasterCard	Trader Joe		Groceries	-116.40	
	    11/27/2023	MasterCard	Whole Foods		Groceries	-90.15	
	    11/27/2023	MasterCard	Qfc		Groceries	-74.57	
	    11/27/2023	MasterCard	O'Reilly Auto Parts		Auto:Service	-14.29	
	    11/27/2023	MasterCard	Sam Ads		Entertainment	-32.99	
	    11/28/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    11/28/2023	MasterCard	Pcc		Groceries	-50.79	
	    11/28/2023	MasterCard	Blazing Bagels Re		Dining	-23.10	
	    11/28/2023	MasterCard	Quicken		Household	-65.93	
	    11/28/2023	MasterCard	Home Depot		Household	-1.38	
	    11/28/2023	Investment1	PAYCHEX INC	PAYCHEX INC	_DivInc	22.25	
	    11/29/2023	MasterCard	Best Buy		Household	-44.03	
	    11/30/2023	Cash	Interest Earned	INTEREST EARNED	Interest Inc	59.48	
	    11/30/2023	Cash	WASTE MANAGEMENT		Utilities:Garbage & Recycling	-133.84	
	    11/30/2023	Cash	Employer	Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-529.11	
				Medicare Tax	Tax:Medicare	-53.84	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    11/30/2023	MasterCard	Amazon		Household	-132.11	
	    11/30/2023	Investment2	3.957 FIDELITY MUNICIPAL INCOME		_DivInc	47.68	
	    11/30/2023	Investment2	8.570 FIDELITY CAPITAL & INCOME		_DivInc	80.64	
	    11/30/2023	Investment2	FIDELITY GOVERNMENT MONEY MARKET	DIVIDEND RECEIVED	_DivInc	14.92	
	    11/30/2023	Investment1	CMS ENERGY CORP	CMS ENERGY CORP	_DivInc	13.16	
	    11/30/2023	Investment1	BANK DEPOSIT SWEEP	STANDARD BANK DEPOSIT	_IntInc	2.21	
	    12/1/2023	MasterCard	 Fiat		Auto:Service	-258.84	
	    12/1/2023	Investment1	371.600 FEDERATED HERMES PRIME CASH OBLIGATIONS CL WS		_DivInc	371.60	
	    12/1/2023	Investment1	AFLAC INC	AFLAC INC	_DivInc	18.90	
	    12/1/2023	Investment1	3.000 CHEVRON CORPORATION	CHEVRON CORPORATION		0.00	
	    12/1/2023	Investment1	7.000 CISCO SYSTEMS INC	CISCO SYSTEMS INC		0.00	
	    12/1/2023	Investment1	8.000 COMCAST CORP NEW CL A	COMCAST CORP NEW CL A		0.00	
	    12/1/2023	Investment1	GRAINGER W W INC	GRAINGER W W INC	_DivInc	5.58	
	    12/1/2023	Investment1	L3HARRIS TECHNOLOGIES	L3HARRIS TECHNOLOGIES	_DivInc	13.68	
	    12/1/2023	Investment1	PHILLIPS 66	PHILLIPS 66	_DivInc	30.45	
	    12/1/2023	Investment1	1.000 S&P GLOBAL INC	S&P GLOBAL INC		0.00	
	    12/1/2023	Investment1	WISCONSIN ENERGY CORP	WEC ENERGY GROUP INC	_DivInc	14.04	
	    12/2/2023	MasterCard	Hulu		Streaming	-116.68	
	    12/2/2023	MasterCard	Amazon		Household	-15.68	
	    12/4/2023	Cash	ARCO		Auto:Fuel	-72.48	
	    12/4/2023	MasterCard	Lululemon		Clothing	-100.00	
	    12/4/2023	MasterCard	Trader Joe		Groceries	-42.89	
	    12/4/2023	MasterCard	Sephora		Personal Care	-100.00	
	    12/4/2023	MasterCard	Restaurant		Dining	-143.49	
	    12/4/2023	MasterCard	Sam Ads		Entertainment	-35.98	
	    12/4/2023	MasterCard	General Bldg		Dining	-7.56	
	    12/5/2023	Checking	Venmo	 	House Services	-120.00	
	    12/5/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    12/5/2023	Investment1	JOHNSON & JOHNSON	JOHNSON & JOHNSON	_DivInc	24.99	
	    12/6/2023	MasterCard	Urban Haircuts 2		Personal Care	-63.25	
	    12/7/2023	MasterCard	Bai Tong		Gifts Given	-100.00	
	    12/7/2023	Investment2	50.237 JANUS TRITON FUND CLASS T SHARES		_LT CapGnDst	1,187.61	
	    12/8/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    12/8/2023	MasterCard	Starbucks		Dining	-100.00	
	    12/8/2023	MasterCard	Metropolitan Market		Groceries	-12.11	
	    12/8/2023	Investment1	AMGEN INC	AMGEN INC	_DivInc	25.56	
	    12/9/2023	MasterCard	Pcc		Groceries	-42.33	
	    12/10/2023	Investment1	TARGET CORP	TARGET CORP	_DivInc	15.40	
	    12/11/2023	Checking	Zelle Alice		Personal Care	-40.00	
	    12/11/2023	MasterCard	Total Wine More		Groceries	-257.50	
	    12/11/2023	MasterCard	Century Theaters		Entertainment	-57.68	
	    12/11/2023	MasterCard	Safeway		Groceries	-19.15	
	    12/11/2023	Investment2	AGNC Investment Corp.	DIVIDEND RECEIVED	_DivInc	36.00	
	    12/11/2023	Investment1	CHEVRON CORPORATION	CHEVRON CORPORATION	_DivInc	31.71	
	    12/11/2023	Investment1	EMERSON ELECTRIC CO	EMERSON ELECTRIC CO	_DivInc	11.03	
	    12/12/2023	Checking	Zelle Bob		House Services	-50.00	
	    12/12/2023	Cash	ARCO		Auto:Fuel	-51.45	
	    12/12/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    12/12/2023	MasterCard	Trader Joe		Groceries	-106.22	
	    12/12/2023	Investment1	P P G INDUSTRIES INC	P P G INDUSTRIES INC	_DivInc	5.85	
	    12/12/2023	Investment1	S&P GLOBAL INC	S&P GLOBAL INC	_DivInc	4.50	
	    12/12/2023	Investment1	UNITEDHEALTH GROUP	UNITEDHEALTH GROUP	_DivInc	18.80	
	    12/13/2023	MasterCard	Ttggoldstar		Entertainment	-212.80	
	    12/13/2023	Investment1	5.952 AMERICAN INC FD OF AMER 98154		_DivInc	134.70	
	    12/13/2023	Investment2	3.807 INVESCO DIVERSIFIED DIVIDEND INVESTOR CL		_DivInc	65.82	
	    12/13/2023	Investment2	48.872 INVESCO DIVERSIFIED DIVIDEND INVESTOR CL		_LT CapGnDst	845.00	
	    12/14/2023	Checking	Costco Gas		Auto:Fuel	-41.08	
	    12/14/2023	MasterCard	The Chicago Faucet Shoppe Inc		Household	-20.49	
	    12/14/2023	MasterCard	Rolls Rolls Plus		Dining	-170.96	
	    12/14/2023	Investment1	ANALOG DEVICES INC	ANALOG DEVICES INC	_DivInc	18.06	
	    12/14/2023	Investment1	MICROSOFT CORP	MICROSOFT CORP	_DivInc	27.75	
	    12/15/2023	Checking	Farmers Pc Rp Ins Paymnt 		Auto:Insurance	-277.16	
	    12/15/2023	Cash	Employer	Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-543.64	
				Medicare Tax	Tax:Medicare	-53.84	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    12/15/2023	Cash	Prov L&a Dis		Insurance:Disability Insurance	-130.86	
	    12/15/2023	Investment1	MCDONALDS CORP	MCDONALDS CORP	_DivInc	13.36	
	    12/15/2023	Investment1	NEXTERA ENERGY INC	NEXTERA ENERGY INC	_DivInc	14.49	
	    12/18/2023	MasterCard	Amazon Music		Entertainment	-5.49	
	    12/18/2023	MasterCard	Restaurant		Dining	-184.55	
	    12/18/2023	MasterCard	Royal		Entertainment	-18.25	
	    12/18/2023	MasterCard	Crossroads Stm		Misc	-64.81	
	    12/18/2023	Investment1	18.264 GROWTH FUND OF AMERICA CL A		_DivInc	1,136.59	
	    12/18/2023	Investment1	11.856 FUNDAMENTAL INVESTORS FUND CL A		_DivInc	834.22	
	    12/18/2023	Investment1	LINDE PLC	LINDE PLC NEW	_DivInc	11.48	
	    12/19/2023	Checking	ARCO	 	Auto:Fuel	-73.15	
	    12/19/2023	MasterCard	Qfc		Groceries	-13.21	
	    12/19/2023	MasterCard	Noburu Ramen Sushi		Dining	-177.96	
	    12/19/2023	Investment2	PROSPECT CAP CORP	DIVIDEND RECEIVED	_DivInc	48.00	
	    12/20/2023	Checking	T-mobile		Utilities:Telephone	-298.70	
	    12/20/2023	Checking	Venmo	 	House Services	-130.00	
	    12/20/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    12/20/2023	MasterCard	Jamba Juice		Dining	-12.56	
	    12/20/2023	Investment1	0.844 SMALLCAP WORLD FUND CL A		_DivInc	55.31	
	    12/21/2023	MasterCard	Trader Joe's		Groceries	-31.41	
	    12/21/2023	MasterCard	Pcc		Groceries	-35.66	
	    12/21/2023	MasterCard	Audible.Com		Entertainment	-16.46	
	    12/21/2023	Investment2	5.911 FIDELITY CAPITAL & INCOME		_DivInc	56.92	
	    12/21/2023	Investment1	FACTSET RESEARCH SYSTEMS	FACTSET RESEARCH SYSTEMS	_DivInc	5.88	
	    12/22/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-81.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    12/22/2023	Investment1	BLACKROCK INC	BLACKROCK INC	_DivInc	20.00	
	    12/23/2023	MasterCard	Market Optical		Medical:Doctor	-825.75	
	    12/26/2023	Cash	ARCO		Auto:Fuel	-20.85	
	    12/26/2023	MasterCard	Trader Joe		Groceries	-52.22	
	    12/27/2023	Checking	ARCO	 	Auto:Fuel	-58.79	
	    12/27/2023	Cash	ARCO		Auto:Fuel	-36.88	
	    12/27/2023	MasterCard	Spicy Talk Bistro		Dining	-212.10	
	    12/27/2023	MasterCard	Spicy Talk Bistro		Dining	-20.38	
	    12/27/2023	MasterCard	Delta		Misc	-5.60	
	    12/28/2023	Checking	Costco		Groceries	-79.99	
	    12/28/2023	MasterCard	Trader Joe		Groceries	-17.56	
	    12/28/2023	MasterCard	Trader Joe		Groceries	-3.38	
	    12/28/2023	Investment2	11.211 FIDELITY FREEDOM INCOME		_DivInc	117.15	
	    12/29/2023	Checking	Costco Whse		Groceries	8.00	
	    12/29/2023	Cash	Employer	Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-529.09	
