	AllTransactions

	1/1/2023 through 3/9/2026 (in U.S. Dollars)


	Date	Account	Description	Memo	Category	Amount	
			
			
			
			
			
							
	BALANCE 12/31/2022	-0.0(	
	    1/31/2023	Investment1	BANK DEPOSIT SWEEP	STANDARD BANK DEPOSIT	_IntInc	2.70	
	    2/1/2023	Cash	Ally Financial	BILL PAYMENT         ALLY FINANCIAL	Auto:Loan	-714.45	
	    2/1/2023	MasterCard	Market Qps		Dining	-2.00	
	    2/1/2023	Investment1	297.590 FEDERATED HERMES PRIME CASH OBLIGATIONS CL WS		_DivInc	297.59	
	    2/2/2023	Checking	ARCO	 	Auto:Fuel	-63.19	
	    2/2/2023	Checking	Zelle Bob		House Services	-50.00	
	    2/2/2023	MasterCard	Hulu		Streaming	-107.88	
	    2/2/2023	MasterCard	Cafe Qps		Dining	-4.40	
	    2/2/2023	MasterCard	Chevron		Groceries	-3.39	
	    2/2/2023	Investment1	AMERICAN TOWER CORP	AMERICAN TOWER CORP	_DivInc	12.48	
	    2/3/2023	Checking	 	000000001   WEB ID: 0000000001	House Services	-130.00	
	    2/3/2023	MasterCard	Forte		Dining	-23.29	
	    2/3/2023	MasterCard	Stumptown Coffee		Dining	-10.75	
	    2/3/2023	MasterCard	Stumptown Coffee		Dining	-4.50	
	    2/3/2023	Investment2	0.832 FIDELITY FREEDOM INCOME		_DivInc	8.57	
	    2/4/2023	MasterCard	Cash Auto Redemption		Bank Charge	100.00	
	    2/4/2023	MasterCard	Trader Joe's		Groceries	-53.28	
	    2/4/2023	MasterCard	Pharmaca		Medical:Medicine	-30.00	
	    2/4/2023	MasterCard	Fiddlers Coffee		Dining	-5.65	
	    2/6/2023	MasterCard	John Howie Steak		Dining	-107.02	
	    2/6/2023	MasterCard	Home Depot		Household	-40.65	
	    2/6/2023	MasterCard	Pcc		Groceries	-37.62	
	    2/7/2023	Cash	ARCO		Auto:Fuel	-19.44	
	    2/7/2023	MasterCard	Target		Medical:Doctor	-26.19	
	    2/7/2023	MasterCard	Metropolitan Market		Groceries	-3.59	
	    2/8/2023	MasterCard	Fried Egg		Dining	-29.21	
	    2/8/2023	MasterCard	Target		Medical:Doctor	-12.07	
	    2/8/2023	MasterCard	Target		Medical:Doctor	-6.99	
	    2/8/2023	MasterCard	Luc Lac		Dining	-37.76	
	    2/8/2023	Investment1	9.000 CHEVRON CORPORATION	CHEVRON CORPORATION		0.00	
	    2/8/2023	Investment1	LOWES COMPANIES INC	LOWES COMPANIES INC	_DivInc	28.35	
	    2/9/2023	Checking	ARCO	 	Auto:Fuel	-67.05	
	    2/9/2023	Checking	Netflix		Streaming	-17.05	
	    2/9/2023	Cash	ARCO		Auto:Fuel	-19.44	
	    2/9/2023	MasterCard	Wailua Shave Ice		Dining	-10.64	
	    2/9/2023	MasterCard	Prime Video		Streaming	-6.59	
	    2/9/2023	MasterCard	Amazon		Medical:Medicine	-33.46	
	    2/9/2023	Investment2	AGNC Investment Corp.	DIVIDEND RECEIVED	_DivInc	36.00	
	    2/10/2023	Checking	Employer	Salary	Salary Spouse	1,556.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-80.10	
				Social Security (FICA)	Tax Spouse:Soc Sec	-112.55	
				Medicare Tax	Tax Spouse:Medicare	-25.71	
	    2/10/2023	MasterCard	Never Coffee		Dining	-18.40	
	    2/10/2023	MasterCard	Target		Medical:Doctor	-14.97	
	    2/10/2023	MasterCard	Target		Medical:Doctor	-11.37	
	    2/10/2023	MasterCard	Target		Medical:Doctor	-7.33	
	    2/10/2023	MasterCard	Target		Medical:Doctor	-4.31	
	    2/10/2023	MasterCard	Legacy Cafe Gs		Dining	-1.60	
	    2/10/2023	MasterCard	Janken		Dining	-278.40	
	    2/10/2023	Investment1	CLOROX COMPANY	CLOROX COMPANY	_DivInc	10.62	
	    2/10/2023	Investment1	GENL DYNAMICS CORP COM	GENL DYNAMICS CORP	_DivInc	13.86	
	    2/11/2023	MasterCard	Target		Medical:Doctor	-19.31	
	    2/11/2023	MasterCard	Best Coast Barber		Personal Care	-18.75	
	    2/11/2023	MasterCard	Starbucks		Dining	-5.28	
	    2/11/2023	MasterCard	Never Coffee		Dining	-4.50	
	    2/11/2023	MasterCard	Swee O Tea		Dining	-7.08	
	    2/11/2023	MasterCard	Amazon		Household	-126.62	
	    2/11/2023	MasterCard	Sp Machus		Clothing	-46.00	
	    2/13/2023	Cash	ARCO		Auto:Fuel	-19.44	
	    2/13/2023	MasterCard	Oven Shaker		Dining	-90.86	
	    2/13/2023	MasterCard	Reg Bella Botega		Entertainment	-34.00	
	    2/13/2023	MasterCard	Qfc		Groceries	-12.11	
	    2/13/2023	MasterCard	Starbucks		Dining	-5.69	
	    2/13/2023	Investment1	AIR PRODUCTS & CHEMICALS	AIR PRODUCTS & CHEMICALS	_DivInc	14.58	
	    2/14/2023	Cash	ARCO		Auto:Fuel	-70.99	
	    2/14/2023	MasterCard	Ramen Ryoma		Dining	-21.10	
	    2/14/2023	MasterCard	Amazon		Medical:Medicine	-13.07	
	    2/14/2023	Investment1	COLGATE-PALMOLIVE CO	COLGATE-PALMOLIVE CO	_DivInc	7.99	
	    2/15/2023	Checking	Farmers		Auto:Insurance	-282.83	
	    2/15/2023	Cash		Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-429.11	
				Medicare Tax	Tax:Medicare	-118.65	
				Social Security (FICA)	Tax:Soc Sec	-150.35	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    2/15/2023	Cash	Prov L&a Dis		Insurance:Disability Insurance	-130.86	
	    2/15/2023	Cash	ARCO		Auto:Fuel	-19.44	
	    2/15/2023	MasterCard	Florum Flowers		Gifts Given	-88.63	
	    2/15/2023	MasterCard	Amazon		Household	-25.87	
	    2/15/2023	Investment1	ABBOTT LABORATORIES	ABBOTT LABORATORIES	_DivInc	15.30	
	    2/15/2023	Investment1	ACCENTURE PLC IRELAND	ACCENTURE PLC IRELAND	_DivInc	12.32	
	    2/15/2023	Investment1	PROCTER & GAMBLE CO	PROCTER & GAMBLE CO	_DivInc	15.53	
	    2/16/2023	Investment2	PROSPECT CAP CORP	DIVIDEND RECEIVED	_DivInc	48.00	
	    2/16/2023	Investment1	APPLE INC	APPLE INC	_DivInc	11.04	
	    2/17/2023	Cash	ARCO		Auto:Fuel	-19.44	
	    2/17/2023	Investment1	COSTCO WHSL CORP NEW	COSTCO WHSL CORP NEW	_DivInc	3.60	
	    2/18/2023	MasterCard	Amazon Music		Entertainment	-5.49	
	    2/20/2023	MasterCard	Safeway		Groceries	-70.68	
	    2/20/2023	MasterCard	Qfc		Groceries	-4.00	
	    2/20/2023	MasterCard	Amazon		Household	-20.36	
	    2/21/2023	Checking	T-mobile		Utilities:Telephone	-247.11	
	    2/21/2023	Checking	ARCO	 	Auto:Fuel	-45.88	
	    2/21/2023	MasterCard	Audible.Com		Entertainment	-16.46	
	    2/21/2023	MasterCard	Amazon		Household	-55.04	
	    2/21/2023	MasterCard	Amazon		Household	-30.82	
	    2/21/2023	MasterCard	Amazon		Household	-67.07	
	    2/21/2023	Investment1	NORFOLK SOUTHERN CORP	NORFOLK SOUTHERN CORP	_DivInc	17.55	
	    2/22/2023	Cash	ARCO		Auto:Fuel	-19.44	
	    2/22/2023	MasterCard	Beverages & More		Groceries	-110.47	
	    2/22/2023	MasterCard	Amazon		Personal Care	-26.37	
	    2/22/2023	MasterCard	Amazon		Household	-13.20	
	    2/22/2023	MasterCard	Pureland Su		Household	-76.51	
	    2/22/2023	MasterCard	Amazon		Household	-28.59	
	    2/22/2023	MasterCard	Amazon		Household	-10.40	
	    2/23/2023	MasterCard	Aptive Centr		House Services	-136.52	
	    2/23/2023	MasterCard	Cafe Qps		Dining	-4.40	
	    2/23/2023	Investment1	PAYCHEX INC	PAYCHEX INC	_DivInc	19.75	
	    2/24/2023	Checking	Employer	Salary	Salary Spouse	1,477.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
				Medical Insurance	Employer Benefit Spouse:Medical	-43.66	
				Federal Tax	Tax Spouse:Fed	-130.23	
				Social Security (FICA)	Tax Spouse:Soc Sec	-130.05	
				Medicare Tax	Tax Spouse:Medicare	-60.59	
	    2/24/2023	Cash	ARCO		Auto:Fuel	-19.44	
	    2/24/2023	MasterCard	Pcc		Groceries	-84.72	
	    2/24/2023	MasterCard	Amazon		Clothing	-18.15	
	    2/27/2023	Cash	Ziply Fiber		Utilities:Internet	-83.51	
	    2/27/2023	MasterCard	Cactus		Dining	-58.14	
	    2/27/2023	MasterCard	Dough Zone		Dining	-25.16	
	    2/27/2023	MasterCard	Qfc		Groceries	-2.38	
	    2/27/2023	MasterCard	Shopbop.Com		Clothing	-154.14	
	    2/27/2023	MasterCard	Amazon		Household	-35.02	
	    2/27/2023	MasterCard	Amazon		Household	-9.90	
	    2/27/2023	MasterCard	Amazon		Household	-18.71	
	    2/28/2023	Checking	Zelle Bob		House Services	-50.00	
	    2/28/2023	Cash	Interest Earned	INTEREST EARNED	Interest Inc	186.24	
	    2/28/2023	Cash		Salary	Salary	2,299.17	
				Federal Tax	Tax:Fed	-429.11	
				Medicare Tax	Tax:Medicare	-38.66	
				Social Security (FICA)	Tax:Soc Sec	-137.34	
				Legal Plan	L&P Fees	-10.29	
				Dependent Life Insurance	Insurance:Life	-85.50	
				Other After-Tax Deduction	Insurance	-11.25	
				Other After-Tax Deduction	Insurance:Life	-136.23	
	    2/28/2023	MasterCard	Great Clips		Personal Care	-24.00	
	    2/28/2023	Investment2	7.707 FIDELITY CAPITAL & INCOME		_DivInc	70.90	
	    2/28/2023	Investment2	3.488 FIDELITY MUNICIPAL INCOME		_DivInc	41.58	
	    2/28/2023	Investment2	FIDELITY GOVERNMENT MONEY MARKET	DIVIDEND RECEIVED	_DivInc	74.63	
	    2/28/2023	Investment1	CMS ENERGY CORP	CMS ENERGY CORP	_DivInc	13.65	
	    2/28/2023	Investment1	BANK DEPOSIT SWEEP	STANDARD BANK DEPOSIT	_IntInc	1.64	
	    3/1/2023	MasterCard	Trader Joe's		Groceries	-41.30	
	    3/1/2023	MasterCard	Tracki		Household	-19.95	
	    3/1/2023	Investment1	283.930 FEDERATED HERMES PRIME CASH OBLIGATIONS CL WS		_DivInc	283.93	
	    3/1/2023	Investment1	AFLAC INC	AFLAC INC	_DivInc	18.90	
	    3/1/2023	Investment1	GRAINGER W W INC	GRAINGER W W INC	_DivInc	5.16	
	    3/1/2023	Investment1	PHILLIPS 66	PHILLIPS 66	_DivInc	30.45	
	    3/1/2023	Investment1	WISCONSIN ENERGY CORP	WEC ENERGY GROUP INC	_DivInc	14.82	
	    3/2/2023	Checking	Dollar Tree		Household	-6.61	
	    3/2/2023	Cash	ARCO		Auto:Fuel	-19.64	
	    3/2/2023	MasterCard	Hulu		Streaming	-107.88	
	    3/2/2023	MasterCard	Qfc		Groceries	-35.38	
	    3/2/2023	MasterCard	Trader Joe's		Groceries	-21.96	
	    3/2/2023	MasterCard	Metropolitan Market		Groceries	-19.97	
	    3/2/2023	MasterCard	Cke Tamari Bar		Dining	-33.67	
	    3/2/2023	MasterCard	Amazon		Medical:Medicine	-14.18	
	    3/2/2023	Investment1	9.000 Unidentified Security	LINDE PLC            CHG		0.00	
	    3/2/2023	Investment1	9.000 LINDE PLC	LINDE PLC NEW	_RlzdGain	293.28	
	    3/2/2023	Investment1	1:1 LINDE PLC	from data feed		0.00	
	    3/3/2023	Checking	Costco		Groceries	-78.00	
	    3/3/2023	Cash	WASTE MANAGEMENT		Utilities:Garbage & Recycling	-130.94	
	    3/3/2023	MasterCard	European Deli Produc		Groceries	-29.20	
	    3/3/2023	MasterCard	Qfc		Groceries	-10.97	
	    3/3/2023	MasterCard	Amazon		Personal Care	-38.25	
	    3/3/2023	MasterCard	Amazon		Household	-11.02	
	    3/3/2023	Investment2	0.694 FIDELITY FREEDOM INCOME		_DivInc	7.02	
	    3/6/2023	Checking	GHOA	Homeowner's Association	Household	-120.00	
	    3/6/2023	MasterCard	Whole Foods		Groceries	-75.19	
	    3/6/2023	MasterCard	Safeway		Groceries	-45.22	
	    3/6/2023	MasterCard	Pcc		Groceries	-42.07	
	    3/6/2023	MasterCard	Eastside Dog		Pet	-22.01	
	    3/6/2023	MasterCard	Blazing Bagels		Dining	-17.75	
	    3/6/2023	MasterCard	Qfc		Groceries	-8.80	
	    3/6/2023	MasterCard	Trader Joe's		Groceries	-7.86	
	    3/7/2023	Cash	ARCO		Auto:Fuel	-19.64	
	    3/7/2023	MasterCard	K's		Misc	-158.70	
	    3/7/2023	Investment1	JOHNSON & JOHNSON	JOHNSON & JOHNSON	_DivInc	24.86	
	    3/8/2023	Checking	ARCO	 	Auto:Fuel	-57.70	
	    3/8/2023	Cash	ARCO		Auto:Fuel	-21.50	
	    3/8/2023	MasterCard	Water Grill B		Dining	-210.24	
	    3/8/2023	MasterCard	Aaa		Auto:Insurance	-155.00	
	    3/8/2023	Investment1	AMGEN INC	AMGEN INC	_DivInc	27.69	
	    3/8/2023	Investment1	ANALOG DEVICES INC	ANALOG DEVICES INC	_DivInc	18.06	
	    3/9/2023	Checking	Netflix		Streaming	-17.05	
	    3/9/2023	Cash	Late Settlement Fee		Bank Charge	-4.00	
	    3/9/2023	MasterCard	Cafe Qps		Dining	-4.40	
	    3/9/2023	Investment2	AGNC Investment Corp.	DIVIDEND RECEIVED	_DivInc	36.00	
	    3/9/2023	Investment1	MICROSOFT CORP	MICROSOFT CORP	_DivInc	26.52	
	    3/10/2023	Checking	Employer	Salary	Salary Spouse	1,456.50	
				Dental Insurance	Employer Benefit Spouse:Dental	-5.22	
				Vision Insurance	Employer Benefit Spouse:Vision	-0.36	
